Alice_Angle,Bob_Angle,Correlation,Survivors,Absorbed
0.0,0.0,-1.0000,77334,22666
0.0,7.5,-1.0000,69996,30004
0.0,15.0,-1.0000,62870,37130
0.0,22.5,-0.8759,59920,40080
0.0,30.0,-0.6764,58876,41124
0.0,37.5,-0.4695,58421,41579
0.0,45.0,-0.2673,58120,41880
0.0,52.5,-0.0735,57630,42370
0.0,60.0,0.0794,57322,42678
0.0,67.5,0.2009,57035,42965
0.0,75.0,0.2959,56654,43346
0.0,82.5,0.3593,56857,43143
0.0,90.0,0.3718,56900,43100
7.5,0.0,-1.0000,69904,30096
7.5,7.5,-1.0000,77259,22741
7.5,15.0,-1.0000,70118,29882
7.5,22.5,-1.0000,62844,37156
7.5,30.0,-0.8751,59643,40357
7.5,37.5,-0.6754,58682,41318
7.5,45.0,-0.4657,58141,41859
7.5,52.5,-0.2601,58089,41911
7.5,60.0,-0.0810,57487,42513
7.5,67.5,0.0710,57236,42764
7.5,75.0,0.2004,56931,43069
7.5,82.5,0.2938,56948,43052
7.5,90.0,0.3517,56983,43017
15.0,0.0,-1.0000,62816,37184
15.0,7.5,-1.0000,70078,29922
15.0,15.0,-1.0000,77432,22568
15.0,22.5,-1.0000,70236,29764
15.0,30.0,-1.0000,63076,36924
15.0,37.5,-0.8771,59765,40235
15.0,45.0,-0.6763,58791,41209
15.0,52.5,-0.4623,58594,41406
15.0,60.0,-0.2658,57660,42340
15.0,67.5,-0.0806,57464,42536
15.0,75.0,0.0754,57473,42527
15.0,82.5,0.2089,56919,43081
15.0,90.0,0.2942,56800,43200
22.5,0.0,-0.8734,59603,40397
22.5,7.5,-1.0000,62789,37211
22.5,15.0,-1.0000,70069,29931
22.5,22.5,-1.0000,77400,22600
22.5,30.0,-1.0000,69895,30105
22.5,37.5,-1.0000,62775,37225
22.5,45.0,-0.8747,59735,40265
22.5,52.5,-0.6721,58747,41253
22.5,60.0,-0.4671,58688,41312
22.5,67.5,-0.2605,57944,42056
22.5,75.0,-0.0873,57588,42412
22.5,82.5,0.0828,57180,42820
22.5,90.0,0.2049,57274,42726
30.0,0.0,-0.6708,58682,41318
30.0,7.5,-0.8747,60028,39972
30.0,15.0,-1.0000,62995,37005
30.0,22.5,-1.0000,70187,29813
30.0,30.0,-1.0000,77226,22774
30.0,37.5,-1.0000,70200,29800
30.0,45.0,-1.0000,63133,36867
30.0,52.5,-0.8747,59759,40241
30.0,60.0,-0.6686,58900,41100
30.0,67.5,-0.4608,58466,41534
30.0,75.0,-0.2562,58128,41872
30.0,82.5,-0.0798,57631,42369
30.0,90.0,0.0747,57365,42635
37.5,0.0,-0.4613,58303,41697
37.5,7.5,-0.6771,58813,41187
37.5,15.0,-0.8735,59672,40328
37.5,22.5,-1.0000,62929,37071
37.5,30.0,-1.0000,70053,29947
37.5,37.5,-1.0000,77233,22767
37.5,45.0,-1.0000,70358,29642
37.5,52.5,-1.0000,63001,36999
37.5,60.0,-0.8762,59492,40508
37.5,67.5,-0.6744,58877,41123
37.5,75.0,-0.4675,58391,41609
37.5,82.5,-0.2602,57961,42039
37.5,90.0,-0.0818,57738,42262
45.0,0.0,-0.2649,57857,42143
45.0,7.5,-0.4694,58277,41723
45.0,15.0,-0.6773,58616,41384
45.0,22.5,-0.8738,59725,40275
45.0,30.0,-1.0000,63113,36887
45.0,37.5,-1.0000,70065,29935
45.0,45.0,-1.0000,77078,22922
45.0,52.5,-1.0000,69791,30209
45.0,60.0,-1.0000,62973,37027
45.0,67.5,-0.8766,59415,40585
45.0,75.0,-0.6693,58604,41396
45.0,82.5,-0.4673,58306,41694
45.0,90.0,-0.2582,57973,42027
52.5,0.0,-0.0759,57199,42801
52.5,7.5,-0.2657,58047,41953
52.5,15.0,-0.4640,58125,41875
52.5,22.5,-0.6728,58866,41134
52.5,30.0,-0.8719,59612,40388
52.5,37.5,-1.0000,62989,37011
52.5,45.0,-1.0000,70095,29905
52.5,52.5,-1.0000,77106,22894
52.5,60.0,-1.0000,70202,29798
52.5,67.5,-1.0000,62798,37202
52.5,75.0,-0.8739,59954,40046
52.5,82.5,-0.6786,58668,41332
52.5,90.0,-0.4644,58348,41652
60.0,0.0,0.0764,57124,42876
60.0,7.5,-0.0807,57482,42518
60.0,15.0,-0.2574,57865,42135
60.0,22.5,-0.4647,58216,41784
60.0,30.0,-0.6718,59058,40942
60.0,37.5,-0.8754,59500,40500
60.0,45.0,-1.0000,62821,37179
60.0,52.5,-1.0000,69990,30010
60.0,60.0,-1.0000,77210,22790
60.0,67.5,-1.0000,70072,29928
60.0,75.0,-1.0000,62811,37189
60.0,82.5,-0.8755,59692,40308
60.0,90.0,-0.6742,58875,41125
67.5,0.0,0.1932,56970,43030
67.5,7.5,0.0734,57366,42634
67.5,15.0,-0.0758,57462,42538
67.5,22.5,-0.2581,57898,42102
67.5,30.0,-0.4634,58344,41656
67.5,37.5,-0.6730,58547,41453
67.5,45.0,-0.8732,59392,40608
67.5,52.5,-1.0000,63111,36889
67.5,60.0,-1.0000,69971,30029
67.5,67.5,-1.0000,77409,22591
67.5,75.0,-1.0000,70050,29950
67.5,82.5,-1.0000,62880,37120
67.5,90.0,-0.8763,59540,40460
75.0,0.0,0.2988,57053,42947
75.0,7.5,0.2048,57079,42921
75.0,15.0,0.0746,57264,42736
75.0,22.5,-0.0801,57462,42538
75.0,30.0,-0.2652,57945,42055
75.0,37.5,-0.4608,58523,41477
75.0,45.0,-0.6709,58529,41471
75.0,52.5,-0.8738,59725,40275
75.0,60.0,-1.0000,63046,36954
75.0,67.5,-1.0000,69904,30096
75.0,75.0,-1.0000,77374,22626
75.0,82.5,-1.0000,69952,30048
75.0,90.0,-1.0000,63078,36922
82.5,0.0,0.3567,56833,43167
82.5,7.5,0.2910,56774,43226
82.5,15.0,0.2030,57285,42715
82.5,22.5,0.0761,57129,42871
82.5,30.0,-0.0768,57400,42600
82.5,37.5,-0.2683,58196,41804
82.5,45.0,-0.4622,58066,41934
82.5,52.5,-0.6713,58913,41087
82.5,60.0,-0.8761,59906,40094
82.5,67.5,-1.0000,63067,36933
82.5,75.0,-1.0000,70214,29786
82.5,82.5,-1.0000,77286,22714
82.5,90.0,-1.0000,70122,29878
90.0,0.0,0.3699,56920,43080
90.0,7.5,0.3535,56636,43364
90.0,15.0,0.2950,56988,43012
90.0,22.5,0.1992,57391,42609
90.0,30.0,0.0741,57120,42880
90.0,37.5,-0.0733,57618,42382
90.0,45.0,-0.2653,57972,42028
90.0,52.5,-0.4573,58215,41785
90.0,60.0,-0.6734,58580,41420
90.0,67.5,-0.8758,59796,40204
90.0,75.0,-1.0000,62989,37011
90.0,82.5,-1.0000,70147,29853
90.0,90.0,-1.0000,77299,22701
