scenario,step,id,pos_x,pos_y,vel_x,vel_y,spin,energy
1,0,0,512,480.01,0,1,1,1
1,0,1,480.01,512,1,0,-1,1
1,50,0,511.99872,480.5105,-0.0068099517,0.9999775,1,1
1,50,1,480.5105,511.99872,0.9999775,-0.0068099517,-1,1
1,100,0,511.98904,481.0109,-0.034733314,0.9994058,1,1
1,100,1,481.0109,511.98904,0.9994058,-0.034733314,-1,1
1,150,0,511.9695,481.50986,-0.04747267,0.9988839,1,1
1,150,1,481.50986,511.9695,0.9988839,-0.04747267,-1,1
1,200,0,511.9372,482.0088,-0.08513897,0.9963953,1,1
1,200,1,482.0088,511.9372,0.9963953,-0.08513897,-1,1
1,250,0,511.89255,482.50623,-0.09733829,0.9952795,1,1
1,250,1,482.50623,511.89255,0.9952795,-0.09733829,-1,1
1,300,0,511.8355,483.003,-0.13433827,0.99097824,1,1
1,300,1,483.003,511.8355,0.99097824,-0.13433827,-1,1
1,350,0,511.7663,483.49835,-0.14646767,0.9892601,1,1
1,350,1,483.49835,511.7663,0.9892601,-0.14646767,-1,1
1,400,0,511.6847,483.99164,-0.18321009,0.9831334,1,1
1,400,1,483.99164,511.6847,0.9831334,-0.18321009,-1,1
1,450,0,511.5907,484.48282,-0.19574007,0.9807177,1,1
1,450,1,484.48282,511.5907,0.9807177,-0.19574007,-1,1
1,500,0,511.48468,484.9714,-0.23164439,0.97287756,1,1
1,500,1,484.9714,511.48468,0.97287756,-0.23164439,-1,1
1,550,0,511.36575,485.45712,-0.24505806,0.96958905,1,1
1,550,1,485.45712,511.36575,0.96958905,-0.24505806,-1,1
1,600,0,511.23544,485.93985,-0.27956071,0.96022326,1,1
1,600,1,485.93985,511.23544,0.96022326,-0.27956071,-1,1
1,650,0,511.09122,486.41867,-0.29491788,0.9556233,1,1
1,650,1,486.41867,511.09122,0.9556233,-0.29491788,-1,1
1,700,0,510.93796,486.89447,-0.31367743,0.94963646,1,1
