Alice_Angle,Bob_Angle,Correlation,Survivors,Absorbed
0.0,0.0,1.0,1000000,0
0.0,7.5,0.966286,1000000,0
0.0,15.0,0.865606,1000000,0
0.0,22.5,0.707508,1000000,0
0.0,30.0,0.49986,1000000,0
0.0,37.5,0.258662,1000000,0
0.0,45.0,0.000868,1000000,0
0.0,52.5,-0.258064,1000000,0
0.0,60.0,-0.49893,1000000,0
0.0,67.5,-0.707432,1000000,0
0.0,75.0,-0.86579,1000000,0
0.0,82.5,-0.966146,1000000,0
0.0,90.0,-1.0,1000000,0
7.5,0.0,0.966026,1000000,0
7.5,7.5,1.0,1000000,0
7.5,15.0,0.965872,1000000,0
7.5,22.5,0.86595,1000000,0
7.5,30.0,0.70744,1000000,0
7.5,37.5,0.500618,1000000,0
7.5,45.0,0.258594,1000000,0
7.5,52.5,-0.000478,1000000,0
7.5,60.0,-0.259,1000000,0
7.5,67.5,-0.49869,1000000,0
7.5,75.0,-0.706772,1000000,0
7.5,82.5,-0.865712,1000000,0
7.5,90.0,-0.966194,1000000,0
15.0,0.0,0.866252,1000000,0
15.0,7.5,0.966438,1000000,0
15.0,15.0,1.0,1000000,0
15.0,22.5,0.965668,1000000,0
15.0,30.0,0.86582,1000000,0
15.0,37.5,0.706802,1000000,0
15.0,45.0,0.49874,1000000,0
15.0,52.5,0.259158,1000000,0
15.0,60.0,-0.000378,1000000,0
15.0,67.5,-0.258356,1000000,0
15.0,75.0,-0.499134,1000000,0
15.0,82.5,-0.707662,1000000,0
15.0,90.0,-0.865824,1000000,0
22.5,0.0,0.707536,1000000,0
22.5,7.5,0.866122,1000000,0
22.5,15.0,0.96613,1000000,0
22.5,22.5,1.0,1000000,0
22.5,30.0,0.96595,1000000,0
22.5,37.5,0.866392,1000000,0
22.5,45.0,0.707426,1000000,0
22.5,52.5,0.500382,1000000,0
22.5,60.0,0.258874,1000000,0
22.5,67.5,6.4e-05,1000000,0
22.5,75.0,-0.258828,1000000,0
22.5,82.5,-0.50017,1000000,0
22.5,90.0,-0.70807,1000000,0
30.0,0.0,0.49979,1000000,0
30.0,7.5,0.707664,1000000,0
30.0,15.0,0.866696,1000000,0
30.0,22.5,0.965638,1000000,0
30.0,30.0,1.0,1000000,0
30.0,37.5,0.965898,1000000,0
30.0,45.0,0.866044,1000000,0
30.0,52.5,0.70694,1000000,0
30.0,60.0,0.501748,1000000,0
30.0,67.5,0.259102,1000000,0
30.0,75.0,-4.4e-05,1000000,0
30.0,82.5,-0.25799,1000000,0
30.0,90.0,-0.50055,1000000,0
37.5,0.0,0.258808,1000000,0
37.5,7.5,0.500294,1000000,0
37.5,15.0,0.706912,1000000,0
37.5,22.5,0.866758,1000000,0
37.5,30.0,0.965812,1000000,0
37.5,37.5,1.0,1000000,0
37.5,45.0,0.96607,1000000,0
37.5,52.5,0.865668,1000000,0
37.5,60.0,0.707332,1000000,0
37.5,67.5,0.500332,1000000,0
37.5,75.0,0.258116,1000000,0
37.5,82.5,-8e-05,1000000,0
37.5,90.0,-0.258762,1000000,0
45.0,0.0,0.000514,1000000,0
45.0,7.5,0.259272,1000000,0
45.0,15.0,0.50022,1000000,0
45.0,22.5,0.705738,1000000,0
45.0,30.0,0.86528,1000000,0
45.0,37.5,0.96617,1000000,0
45.0,45.0,1.0,1000000,0
45.0,52.5,0.96584,1000000,0
45.0,60.0,0.866336,1000000,0
45.0,67.5,0.706788,1000000,0
45.0,75.0,0.499872,1000000,0
45.0,82.5,0.258636,1000000,0
45.0,90.0,-0.000142,1000000,0
52.5,0.0,-0.25719,1000000,0
52.5,7.5,0.001068,1000000,0
52.5,15.0,0.257442,1000000,0
52.5,22.5,0.49927,1000000,0
52.5,30.0,0.70698,1000000,0
52.5,37.5,0.866386,1000000,0
52.5,45.0,0.966048,1000000,0
52.5,52.5,1.0,1000000,0
52.5,60.0,0.965924,1000000,0
52.5,67.5,0.865436,1000000,0
52.5,75.0,0.707278,1000000,0
52.5,82.5,0.50053,1000000,0
52.5,90.0,0.258372,1000000,0
60.0,0.0,-0.499884,1000000,0
60.0,7.5,-0.259908,1000000,0
60.0,15.0,0.000624,1000000,0
60.0,22.5,0.259052,1000000,0
60.0,30.0,0.49927,1000000,0
60.0,37.5,0.707078,1000000,0
60.0,45.0,0.866352,1000000,0
60.0,52.5,0.966112,1000000,0
60.0,60.0,1.0,1000000,0
60.0,67.5,0.965764,1000000,0
60.0,75.0,0.865906,1000000,0
60.0,82.5,0.707378,1000000,0
60.0,90.0,0.499046,1000000,0
67.5,0.0,-0.706686,1000000,0
67.5,7.5,-0.500188,1000000,0
67.5,15.0,-0.2603,1000000,0
67.5,22.5,0.000478,1000000,0
67.5,30.0,0.25898,1000000,0
67.5,37.5,0.502244,1000000,0
67.5,45.0,0.707954,1000000,0
67.5,52.5,0.866284,1000000,0
67.5,60.0,0.965888,1000000,0
67.5,67.5,1.0,1000000,0
67.5,75.0,0.96601,1000000,0
67.5,82.5,0.8661,1000000,0
67.5,90.0,0.70732,1000000,0
75.0,0.0,-0.86656,1000000,0
75.0,7.5,-0.70611,1000000,0
75.0,15.0,-0.500928,1000000,0
75.0,22.5,-0.258248,1000000,0
75.0,30.0,0.002096,1000000,0
75.0,37.5,0.259336,1000000,0
75.0,45.0,0.498412,1000000,0
75.0,52.5,0.706634,1000000,0
75.0,60.0,0.866786,1000000,0
75.0,67.5,0.965766,1000000,0
75.0,75.0,1.0,1000000,0
75.0,82.5,0.965754,1000000,0
75.0,90.0,0.865494,1000000,0
82.5,0.0,-0.965512,1000000,0
82.5,7.5,-0.866418,1000000,0
82.5,15.0,-0.708538,1000000,0
82.5,22.5,-0.499458,1000000,0
82.5,30.0,-0.258416,1000000,0
82.5,37.5,-0.00086,1000000,0
82.5,45.0,0.259934,1000000,0
82.5,52.5,0.499866,1000000,0
82.5,60.0,0.70756,1000000,0
82.5,67.5,0.866108,1000000,0
82.5,75.0,0.966184,1000000,0
82.5,82.5,1.0,1000000,0
82.5,90.0,0.965688,1000000,0
90.0,0.0,-1.0,1000000,0
90.0,7.5,-0.965748,1000000,0
90.0,15.0,-0.866546,1000000,0
90.0,22.5,-0.708196,1000000,0
90.0,30.0,-0.49794,1000000,0
90.0,37.5,-0.259596,1000000,0
90.0,45.0,0.000878,1000000,0
90.0,52.5,0.257722,1000000,0
90.0,60.0,0.502106,1000000,0
90.0,67.5,0.70857,1000000,0
90.0,75.0,0.866162,1000000,0
90.0,82.5,0.966082,1000000,0
90.0,90.0,1.0,1000000,0
