Alice_Angle,Bob_Angle,Correlation,Survivors,Absorbed
0.0,0.0,0.92578125,4096,0
0.0,22.5,0.65185546875,4096,0
0.0,45.0,-0.00537109375,4096,0
0.0,67.5,-0.62060546875,4096,0
0.0,90.0,-0.896484375,4096,0
22.5,0.0,0.61376953125,4096,0
22.5,22.5,0.931640625,4096,0
22.5,45.0,0.6474609375,4096,0
22.5,67.5,0.03369140625,4096,0
22.5,90.0,-0.68994140625,4096,0
45.0,0.0,-0.05615234375,4096,0
45.0,22.5,0.59521484375,4096,0
45.0,45.0,0.92529296875,4096,0
45.0,67.5,0.6640625,4096,0
45.0,90.0,-0.001953125,4096,0
67.5,0.0,-0.669921875,4096,0
67.5,22.5,0.005859375,4096,0
67.5,45.0,0.65283203125,4096,0
67.5,67.5,0.92138671875,4096,0
67.5,90.0,0.61767578125,4096,0
90.0,0.0,-0.92138671875,4096,0
90.0,22.5,-0.68896484375,4096,0
90.0,45.0,0.0087890625,4096,0
90.0,67.5,0.62744140625,4096,0
90.0,90.0,0.91650390625,4096,0
