X,UV,Green,Red
0,0,7249,0
1,0,7320,0
2,0,7210,0
3,0,7373,0
4,0,7057,0
5,0,7350,0
6,0,7342,0
7,0,7364,0
8,0,7405,0
9,0,7342,0
10,0,7406,0
11,0,7327,0
12,0,7366,0
13,0,7457,0
14,0,7499,0
15,0,7445,0
16,0,7602,0
17,0,7675,0
18,0,7524,0
19,0,7500,0
20,0,7679,0
21,0,7618,0
22,0,7732,0
23,0,7749,0
24,0,7694,0
25,0,7644,0
26,0,7675,0
27,0,7645,0
28,0,7512,0
29,0,7731,0
30,0,7669,0
31,0,7674,0
32,0,7583,0
33,0,7574,0
34,0,7712,0
35,0,7608,0
36,0,7545,0
37,0,7637,0
38,0,7868,0
39,0,7688,0
40,0,7962,0
41,0,7484,0
42,0,7736,0
43,0,7759,0
44,0,7785,0
45,0,7682,0
46,0,7684,0
47,0,7632,0
48,0,7575,0
49,0,7751,0
50,0,7770,0
51,0,7609,0
52,0,7545,0
53,0,7587,0
54,0,7585,0
55,0,7554,0
56,0,7435,0
57,0,7636,0
58,0,7533,0
59,0,7430,0
60,0,7495,0
61,0,7198,0
62,0,7173,0
63,0,7131,0
64,0,7363,0
65,0,7305,0
66,0,7212,0
67,0,7201,0
68,0,7128,0
69,0,7249,0
70,0,7111,0
71,0,7091,0
72,0,7357,0
73,0,7028,0
74,0,7193,0
75,0,7232,0
76,0,7219,0
77,0,7073,0
78,0,7065,0
79,0,6933,0
80,0,6861,0
81,0,6937,0
82,0,6954,0
83,0,6762,0
84,0,6793,0
85,0,6749,0
86,0,6775,0
87,0,6578,0
88,0,6519,0
89,0,6666,0
90,0,6670,0
91,0,6632,0
92,0,6552,0
93,0,6606,0
94,0,6403,0
95,0,6697,0
96,0,6544,0
97,0,6485,0
98,0,6603,0
99,0,6379,0
100,0,6478,0
101,0,6476,0
102,0,6555,0
103,0,6283,0
104,0,6387,0
105,0,6421,0
106,0,6462,0
107,0,6380,0
108,0,6277,0
109,0,6307,0
110,0,6208,0
111,0,6254,0
112,0,6369,0
113,0,6156,0
114,0,6326,0
115,0,6162,0
116,0,6016,0
117,0,6125,0
118,0,6192,0
119,0,6049,0
120,0,6121,0
121,0,6201,0
122,0,6155,0
123,0,6127,0
124,0,6038,0
125,0,5957,0
126,0,5885,0
127,0,5873,0
128,0,5952,0
129,0,5971,0
130,0,5991,0
131,0,6014,0
132,0,5929,0
133,0,5802,0
134,0,5774,0
135,0,5899,0
136,0,5891,0
137,0,6014,0
138,0,5939,0
139,0,5965,0
140,0,5795,0
141,0,5916,0
142,0,5925,0
143,0,5858,0
144,0,5764,0
145,0,5955,0
146,0,5784,0
147,0,5844,0
148,0,5844,0
149,0,5751,0
150,0,5754,0
151,0,5728,0
152,0,5764,0
153,0,5760,0
154,0,5617,0
155,0,5614,0
156,0,5523,0
157,0,5807,0
158,0,5595,0
159,0,5815,0
160,0,5820,0
161,0,5722,0
162,0,5726,0
163,0,5773,0
164,0,5829,0
165,0,5669,0
166,0,5895,0
167,0,5861,0
168,0,5691,0
169,0,5711,0
170,0,5596,0
171,0,5631,0
172,0,5697,0
173,0,5576,0
174,0,5693,0
175,0,5565,0
176,0,5643,0
177,0,5617,0
178,0,5547,0
179,0,5664,0
180,0,5637,0
181,0,5760,0
182,0,5718,0
183,0,5848,0
184,0,5719,0
185,0,5629,0
186,0,5693,0
187,0,5678,0
188,0,5723,0
189,0,5763,0
190,0,5756,0
191,0,5762,0
192,0,5735,0
193,0,5628,0
194,0,5791,0
195,0,5698,0
196,0,5756,0
197,0,5807,0
198,0,5768,0
199,0,5647,0
200,0,5795,0
201,0,5630,0
202,0,5831,0
203,0,5726,0
204,0,5792,0
205,0,5853,0
206,0,5934,0
207,0,6073,0
208,0,5867,0
209,0,5777,0
210,0,5926,0
211,0,5944,0
212,0,5945,0
213,0,5993,0
214,0,6116,0
215,0,5999,0
216,0,6131,0
217,0,6066,0
218,0,6142,0
219,0,6129,0
220,0,6013,0
221,0,6040,0
222,0,6172,0
223,0,6138,0
224,0,6210,0
225,0,6220,0
226,0,6261,0
227,0,6364,0
228,0,6257,0
229,0,6367,0
230,0,6384,0
231,0,6381,0
232,0,6543,0
233,0,6537,0
234,0,6500,0
235,0,6442,0
236,0,6645,0
237,0,6554,0
238,0,6438,0
239,0,6560,0
240,0,6705,0
241,0,6705,0
242,0,6691,0
243,0,6636,0
244,0,6685,0
245,0,6762,0
246,0,6768,0
247,0,6774,0
248,0,6882,0
249,0,6904,0
250,0,6844,0
251,0,6682,0
252,0,6846,0
253,0,6782,0
254,0,6807,0
255,0,6949,0
256,0,6960,0
257,0,6949,0
258,0,6922,0
259,0,7046,0
260,0,6977,0
261,0,7104,0
262,0,6965,0
263,0,7072,0
264,0,6902,0
265,0,7109,0
266,0,7000,0
267,0,6975,0
268,0,6926,0
269,0,6945,0
270,0,7017,0
271,0,6753,0
272,0,6852,0
273,0,6852,0
274,0,6727,0
275,0,6757,0
276,0,6753,0
277,0,6779,0
278,0,6705,0
279,0,6540,0
280,0,6715,0
281,0,6676,0
282,0,6579,0
283,0,6650,0
284,0,6558,0
285,0,6488,0
286,0,6517,0
287,0,6333,0
288,0,6506,0
289,0,6378,0
290,0,6360,0
291,0,6283,0
292,0,6227,0
293,0,6292,0
294,0,6369,0
295,0,6281,0
296,0,6277,0
297,0,6153,0
298,0,6143,0
299,0,6103,0
300,0,6110,0
301,0,6203,0
302,0,6113,0
303,0,6001,0
304,0,6044,0
305,0,5927,0
306,0,6076,0
307,0,6000,0
308,0,5829,0
309,0,6026,0
310,0,5911,0
311,0,5816,0
312,0,5948,0
313,0,5733,0
314,0,5905,0
315,0,5859,0
316,0,5879,0
317,0,5561,0
318,0,5596,0
319,0,5714,0
320,0,5790,0
321,0,5481,0
322,0,5716,0
323,0,5604,0
324,0,5464,0
325,0,5482,0
326,0,5543,0
327,0,5553,0
328,0,5436,0
329,0,5470,0
330,0,5677,0
331,0,5653,0
332,0,5563,0
333,0,5676,0
334,0,5617,0
335,0,5739,0
336,0,5668,0
337,0,5590,0
338,0,5538,0
339,0,5568,0
340,0,5552,0
341,0,5613,0
342,0,5479,0
343,0,5391,0
344,0,5473,0
345,0,5494,0
346,0,5471,0
347,0,5404,0
348,0,5414,0
349,0,5349,0
350,0,5381,0
351,0,5411,0
352,0,5296,0
353,0,5357,0
354,0,5303,0
355,0,5364,0
356,0,5447,0
357,0,5472,0
358,0,5427,0
359,0,5492,0
360,0,5566,0
361,0,5719,0
362,0,5551,0
363,0,5576,0
364,0,5743,0
365,0,5536,0
366,0,5707,0
367,0,5685,0
368,0,5719,0
369,0,5620,0
370,0,5729,0
371,0,5774,0
372,0,5617,0
373,0,5705,0
374,0,5743,0
375,0,5669,0
376,0,5697,0
377,0,5700,0
378,0,5682,0
379,0,5781,0
380,0,5765,0
381,0,5985,0
382,0,5960,0
383,0,5830,0
384,0,5880,0
385,0,6189,0
386,0,6142,0
387,0,6065,0
388,0,6267,0
389,0,6249,0
390,0,6311,0
391,0,6255,0
392,0,6445,0
393,0,6200,0
394,0,6425,0
395,0,6714,0
396,0,6463,0
397,0,6533,0
398,0,6655,0
399,0,6644,0
400,0,6666,0
401,0,6700,0
402,0,7052,0
403,0,6894,0
404,0,6923,0
405,0,7003,0
406,0,6937,0
407,0,7057,0
408,0,7013,0
409,0,7049,0
