X,UV,Green,Red
0,0,7766,0
1,0,7904,0
2,0,7761,0
3,0,7553,0
4,0,7564,0
5,0,7759,0
6,0,7605,0
7,0,7561,0
8,0,7648,0
9,0,7826,0
10,0,7746,0
11,0,7898,0
12,0,7910,0
13,0,8127,0
14,0,7988,0
15,0,7922,0
16,0,8101,0
17,0,8073,0
18,0,8151,0
19,0,8207,0
20,0,8140,0
21,0,8364,0
22,0,8224,0
23,0,8370,0
24,0,8140,0
25,0,8114,0
26,0,8403,0
27,0,8055,0
28,0,8203,0
29,0,8273,0
30,0,8210,0
31,0,8104,0
32,0,8303,0
33,0,8279,0
34,0,8416,0
35,0,8244,0
36,0,8316,0
37,0,8211,0
38,0,8309,0
39,0,8273,0
40,0,8396,0
41,0,8284,0
42,0,8454,0
43,0,8443,0
44,0,8416,0
45,0,8438,0
46,0,8299,0
47,0,8401,0
48,0,8313,0
49,0,8185,0
50,0,8226,0
51,0,8152,0
52,0,8297,0
53,0,8333,0
54,0,8315,0
55,0,8198,0
56,0,7995,0
57,0,8003,0
58,0,8041,0
59,0,8040,0
60,0,7897,0
61,0,7923,0
62,0,8030,0
63,0,7968,0
64,0,7666,0
65,0,7916,0
66,0,7808,0
67,0,7777,0
68,0,7688,0
69,0,7693,0
70,0,7755,0
71,0,7804,0
72,0,7540,0
73,0,7714,0
74,0,7680,0
75,0,7693,0
76,0,7615,0
77,0,7533,0
78,0,7597,0
79,0,7433,0
80,0,7353,0
81,0,7258,0
82,0,7293,0
83,0,7187,0
84,0,6962,0
85,0,7126,0
86,0,6978,0
87,0,7080,0
88,0,7115,0
89,0,6977,0
90,0,6759,0
91,0,6915,0
92,0,6857,0
93,0,6999,0
94,0,6824,0
95,0,6948,0
96,0,6658,0
97,0,6964,0
98,0,6772,0
99,0,6735,0
100,0,6729,0
101,0,6686,0
102,0,6606,0
103,0,6681,0
104,0,6512,0
105,0,6426,0
106,0,6453,0
107,0,6359,0
108,0,6389,0
109,0,6418,0
110,0,6255,0
111,0,6382,0
112,0,6320,0
113,0,6218,0
114,0,6313,0
115,0,6224,0
116,0,6351,0
117,0,6042,0
118,0,6175,0
119,0,6062,0
120,0,6044,0
121,0,6174,0
122,0,6037,0
123,0,6066,0
124,0,6173,0
125,0,6112,0
126,0,6017,0
127,0,6033,0
128,0,6025,0
129,0,5925,0
130,0,6026,0
131,0,5961,0
132,0,5993,0
133,0,5809,0
134,0,5841,0
135,0,5831,0
136,0,5964,0
137,0,5738,0
138,0,5755,0
139,0,5735,0
140,0,5779,0
141,0,5806,0
142,0,5648,0
143,0,5778,0
144,0,5591,0
145,0,5849,0
146,0,5664,0
147,0,5774,0
148,0,5711,0
149,0,5591,0
150,0,5896,0
151,0,5621,0
152,0,5781,0
153,0,5787,0
154,0,5660,0
155,0,5578,0
156,0,5675,0
157,0,5750,0
158,0,5764,0
159,0,5702,0
160,0,5781,0
161,0,5525,0
162,0,5699,0
163,0,5719,0
164,0,5543,0
165,0,5601,0
166,0,5696,0
167,0,5627,0
168,0,5688,0
169,0,5820,0
170,0,5646,0
171,0,5474,0
172,0,5605,0
173,0,5479,0
174,0,5531,0
175,0,5583,0
176,0,5769,0
177,0,5624,0
178,0,5434,0
179,0,5652,0
180,0,5696,0
181,0,5647,0
182,0,5656,0
183,0,5542,0
184,0,5572,0
185,0,5590,0
186,0,5637,0
187,0,5546,0
188,0,5613,0
189,0,5669,0
190,0,5755,0
191,0,5587,0
192,0,5669,0
193,0,5731,0
194,0,5787,0
195,0,5839,0
196,0,5768,0
197,0,5664,0
198,0,5631,0
199,0,5897,0
200,0,5764,0
201,0,5783,0
202,0,5862,0
203,0,5797,0
204,0,5823,0
205,0,5785,0
206,0,5789,0
207,0,5975,0
208,0,5875,0
209,0,5879,0
210,0,6060,0
211,0,5886,0
212,0,6148,0
213,0,5885,0
214,0,6044,0
215,0,6015,0
216,0,6094,0
217,0,6129,0
218,0,6131,0
219,0,6150,0
220,0,6181,0
221,0,6214,0
222,0,6358,0
223,0,6370,0
224,0,6464,0
225,0,6378,0
226,0,6356,0
227,0,6566,0
228,0,6383,0
229,0,6557,0
230,0,6621,0
231,0,6673,0
232,0,6609,0
233,0,6617,0
234,0,6757,0
235,0,6861,0
236,0,6751,0
237,0,6730,0
238,0,6871,0
239,0,6927,0
240,0,6944,0
241,0,6994,0
242,0,7072,0
243,0,6970,0
244,0,7083,0
245,0,7218,0
246,0,7132,0
247,0,7256,0
248,0,7368,0
249,0,7283,0
250,0,7443,0
251,0,7491,0
252,0,7496,0
253,0,7532,0
254,0,7613,0
255,0,7536,0
256,0,7324,0
257,0,7583,0
258,0,7655,0
259,0,7543,0
260,0,7583,0
261,0,7700,0
262,0,7511,0
263,0,7672,0
264,0,7582,0
265,0,7532,0
266,0,7478,0
267,0,7629,0
268,0,7558,0
269,0,7604,0
270,0,7623,0
271,0,7507,0
272,0,7430,0
273,0,7357,0
274,0,7323,0
275,0,7373,0
276,0,7243,0
277,0,7342,0
278,0,7011,0
279,0,7193,0
280,0,7045,0
281,0,7183,0
282,0,7062,0
283,0,6970,0
284,0,7022,0
285,0,6941,0
286,0,6849,0
287,0,6895,0
288,0,6884,0
289,0,6686,0
290,0,6782,0
291,0,6567,0
292,0,6678,0
293,0,6527,0
294,0,6439,0
295,0,6466,0
296,0,6486,0
297,0,6493,0
298,0,6214,0
299,0,6246,0
300,0,6228,0
301,0,6110,0
302,0,6002,0
303,0,5979,0
304,0,6120,0
305,0,6031,0
306,0,6005,0
307,0,5929,0
308,0,5982,0
309,0,5779,0
310,0,5936,0
311,0,5763,0
312,0,5767,0
313,0,5618,0
314,0,5685,0
315,0,5787,0
316,0,5617,0
317,0,5603,0
318,0,5473,0
319,0,5475,0
320,0,5524,0
321,0,5554,0
322,0,5424,0
323,0,5468,0
324,0,5489,0
325,0,5428,0
326,0,5459,0
327,0,5414,0
328,0,5360,0
329,0,5403,0
330,0,5303,0
331,0,5465,0
332,0,5424,0
333,0,5321,0
334,0,5378,0
335,0,5260,0
336,0,5332,0
337,0,5397,0
338,0,5230,0
339,0,5317,0
340,0,5271,0
341,0,5215,0
342,0,5293,0
343,0,5302,0
344,0,5243,0
345,0,5220,0
346,0,5229,0
347,0,5228,0
348,0,5175,0
349,0,5192,0
350,0,5159,0
351,0,5159,0
352,0,5163,0
353,0,5210,0
354,0,5253,0
355,0,5105,0
356,0,5232,0
357,0,5313,0
358,0,5220,0
359,0,5380,0
360,0,5341,0
361,0,5359,0
362,0,5372,0
363,0,5253,0
364,0,5566,0
365,0,5531,0
366,0,5422,0
367,0,5617,0
368,0,5380,0
369,0,5471,0
370,0,5618,0
371,0,5624,0
372,0,5623,0
373,0,5667,0
374,0,5729,0
375,0,5698,0
376,0,5621,0
377,0,5649,0
378,0,5821,0
379,0,5803,0
380,0,5749,0
381,0,5921,0
382,0,6061,0
383,0,5958,0
384,0,5994,0
385,0,6161,0
386,0,6184,0
387,0,6099,0
388,0,6287,0
389,0,6369,0
390,0,6348,0
391,0,6628,0
392,0,6674,0
393,0,6736,0
394,0,6864,0
395,0,6780,0
396,0,6804,0
397,0,7066,0
398,0,7116,0
399,0,7196,0
400,0,7149,0
401,0,7259,0
402,0,7375,0
403,0,7460,0
404,0,7593,0
405,0,7484,0
406,0,7661,0
407,0,7825,0
408,0,7804,0
409,0,7845,0
410,0,7876,0
411,0,7941,0
412,0,7908,0
413,0,8051,0
414,0,8078,0
415,0,7995,0
416,0,8033,0
417,0,7840,0
418,0,8080,0
419,0,8234,0
420,0,7992,0
421,0,7960,0
422,0,8197,0
423,0,8127,0
