Time,Gauss_Center,Gauss_Spread,Airy_Center,Airy_Spread
0, 0.3363, 5.0000, 0.0000, 4.9485
1, 0.2167, 5.0062, 0.0250, 5.1727
2, -0.3832, 5.0249, 0.1000, 4.9042
3, 0.4641, 5.0559, 0.2250, 4.8162
4, -0.4291, 5.0990, 0.4000, 4.9494
5, -0.2607, 5.1539, 0.6250, 4.9494
6, -0.4665, 5.2202, 0.9000, 5.1450
7, -0.1948, 5.2974, 1.2250, 4.8017
8, 0.1489, 5.3852, 1.6000, 5.1864
9, -0.4902, 5.4829, 2.0250, 4.9392
10, -0.0172, 5.5902, 2.5000, 5.0673
11, -0.3876, 5.7064, 3.0250, 4.8263
12, 0.1450, 5.8310, 3.6000, 4.8753
13, -0.0737, 5.9634, 4.2250, 5.0837
14, -0.4781, 6.1033, 4.9000, 4.8705
15, 0.3685, 6.2500, 5.6250, 5.0740
16, 0.0016, 6.4031, 6.4000, 5.1680
17, 0.0651, 6.5622, 7.2250, 4.9980
18, 0.2811, 6.7268, 8.1000, 4.9746
19, 0.4177, 6.8966, 9.0250, 5.1633
20, 0.3286, 7.0711, 10.0000, 4.9249
21, -0.1420, 7.2500, 11.0250, 5.0786
22, 0.2011, 7.4330, 12.1000, 5.0107
23, -0.2198, 7.6199, 13.2250, 4.9033
24, 0.4784, 7.8102, 14.4000, 5.0451
25, 0.0857, 8.0039, 15.6250, 4.9241
26, 0.0205, 8.2006, 16.9000, 4.8656
27, 0.2522, 8.4001, 18.2250, 4.9691
28, 0.3534, 8.6023, 19.6000, 5.0290
29, -0.1288, 8.8070, 21.0250, 4.9994
30, -0.4550, 9.0139, 22.5000, 4.8279
31, -0.3568, 9.2229, 24.0250, 5.0093
32, -0.4734, 9.4340, 25.6000, 5.1188
33, 0.0487, 9.6469, 27.2250, 4.9444
34, 0.1753, 9.8615, 28.9000, 5.1674
35, 0.3809, 10.0778, 30.6250, 4.9065
36, 0.4163, 10.2956, 32.4000, 4.8872
37, 0.1031, 10.5149, 34.2250, 4.8516
38, 0.2861, 10.7355, 36.1000, 5.0128
39, -0.2062, 10.9573, 38.0250, 5.1767
40, 0.4105, 11.1803, 40.0000, 5.0762
41, 0.4217, 11.4045, 42.0250, 4.8922
42, 0.4968, 11.6297, 44.1000, 4.8752
43, 0.4580, 11.8559, 46.2250, 5.0092
44, -0.1533, 12.0830, 48.4000, 5.1952
45, -0.4813, 12.3111, 50.6250, 4.8116
46, 0.0206, 12.5399, 52.9000, 4.8421
47, 0.4753, 12.7696, 55.2250, 5.0935
48, -0.0672, 13.0000, 57.6000, 4.8169
49, 0.0602, 13.2311, 60.0250, 4.9219
50, -0.4427, 13.4629, 62.5000, 4.9481
51, 0.0060, 13.6953, 65.0250, 4.8229
52, -0.4128, 13.9284, 67.6000, 4.8076
53, -0.0869, 14.1620, 70.2250, 5.1595
54, -0.4203, 14.3962, 72.9000, 5.0542
55, -0.4507, 14.6309, 75.6250, 4.9347
56, -0.0740, 14.8661, 78.4000, 4.8952
57, -0.1764, 15.1017, 81.2250, 5.1109
58, -0.3135, 15.3379, 84.1000, 5.1042
59, 0.3784, 15.5744, 87.0250, 4.8780
60, 0.4793, 15.8114, 90.0000, 5.1479
61, -0.0624, 16.0488, 93.0250, 4.9826
62, 0.1396, 16.2865, 96.1000, 5.1909
63, -0.2539, 16.5246, 99.2250, 5.0007
64, -0.1851, 16.7631, 102.4000, 5.1795
65, -0.4868, 17.0018, 105.6250, 4.8104
66, 0.3455, 17.2409, 108.9000, 5.0194
67, 0.1694, 17.4803, 112.2250, 5.0457
68, 0.4949, 17.7200, 115.6000, 4.9202
69, -0.2421, 17.9600, 119.0250, 4.9913
70, 0.3256, 18.2003, 122.5000, 5.0654
71, 0.1519, 18.4408, 126.0250, 5.0563
72, -0.4816, 18.6815, 129.6000, 4.9891
73, -0.1095, 18.9225, 133.2250, 4.9564
74, -0.3452, 19.1638, 136.9000, 4.8912
75, -0.1880, 19.4052, 140.6250, 5.0902
76, 0.1062, 19.6469, 144.4000, 4.8807
77, -0.4329, 19.8888, 148.2250, 4.9018
78, -0.0196, 20.1308, 152.1000, 4.8305
79, 0.4842, 20.3731, 156.0250, 5.1743
80, 0.3793, 20.6155, 160.0000, 5.0697
81, -0.1067, 20.8582, 164.0250, 5.1045
82, -0.4350, 21.1009, 168.1000, 5.0530
83, -0.0843, 21.3439, 172.2250, 5.1211
84, 0.4869, 21.5870, 176.4000, 4.9112
85, -0.4245, 21.8303, 180.6250, 4.9372
86, 0.0120, 22.0737, 184.9000, 4.9103
87, 0.0343, 22.3173, 189.2250, 4.8661
88, -0.2388, 22.5610, 193.6000, 5.1434
89, 0.2630, 22.8049, 198.0250, 5.0908
90, -0.4476, 23.0489, 202.5000, 5.1695
91, -0.3818, 23.2930, 207.0250, 4.8676
92, -0.2968, 23.5372, 211.6000, 5.1369
93, 0.2876, 23.7816, 216.2250, 5.0151
94, 0.2977, 24.0260, 220.9000, 4.8619
95, 0.4984, 24.2706, 225.6250, 5.1545
96, 0.0104, 24.5153, 230.4000, 4.9685
97, 0.4158, 24.7601, 235.2250, 5.0905
98, 0.1510, 25.0050, 240.1000, 4.9537
99, -0.1407, 25.2500, 245.0250, 5.1375
100, 0.4030, 25.4951, 250.0000, 4.8092
