id,helicity,orbital_energy
0,1,103.12424
1,-1,96.87576
2,1,103.12424
3,-1,96.87576
4,1,103.12424
5,-1,96.87576
6,1,103.12424
7,-1,96.87576
8,1,103.12424
9,-1,96.87576
10,1,103.12424
11,-1,96.87576
12,1,103.12424
13,-1,96.87576
14,1,103.12424
15,-1,96.87576
16,1,103.12424
17,-1,96.87576
18,1,103.12424
19,-1,96.87576
20,1,103.12424
21,-1,96.87576
22,1,103.12424
23,-1,96.87576
24,1,103.12424
25,-1,96.87576
26,1,103.12424
27,-1,96.87576
28,1,103.12424
29,-1,96.87576
30,1,103.12424
31,-1,96.87576
32,1,103.12424
33,-1,96.87576
34,1,103.12424
35,-1,96.87576
36,1,103.12424
37,-1,96.87576
38,1,103.12424
39,-1,96.87576
40,1,103.12424
41,-1,96.87576
42,1,103.12424
43,-1,96.87576
44,1,103.12424
45,-1,96.87576
46,1,103.12424
47,-1,96.87576
48,1,103.12424
49,-1,96.87576
50,1,103.12424
51,-1,96.87576
52,1,103.12424
53,-1,96.87576
54,1,103.12424
55,-1,96.87576
56,1,103.12424
57,-1,96.87576
58,1,103.12424
59,-1,96.87576
60,1,103.12424
61,-1,96.87576
62,1,103.12424
63,-1,96.87576
64,1,103.12424
65,-1,96.87576
66,1,103.12424
67,-1,96.87576
68,1,103.12424
69,-1,96.87576
70,1,103.12424
71,-1,96.87576
72,1,103.12424
73,-1,96.87576
74,1,103.12424
75,-1,96.87576
76,1,103.12424
77,-1,96.87576
78,1,103.12424
79,-1,96.87576
80,1,103.12424
81,-1,96.87576
82,1,103.12424
83,-1,96.87576
84,1,103.12424
85,-1,96.87576
86,1,103.12424
87,-1,96.87576
88,1,103.12424
89,-1,96.87576
90,1,103.12424
91,-1,96.87576
92,1,103.12424
93,-1,96.87576
94,1,103.12424
95,-1,96.87576
96,1,103.12424
97,-1,96.87576
98,1,103.12424
99,-1,96.87576
100,1,103.12424
101,-1,96.87576
102,1,103.12424
103,-1,96.87576
104,1,103.12424
105,-1,96.87576
106,1,103.12424
107,-1,96.87576
108,1,103.12424
109,-1,96.87576
110,1,103.12424
111,-1,96.87576
112,1,103.12424
113,-1,96.87576
114,1,103.12424
115,-1,96.87576
116,1,103.12424
117,-1,96.87576
118,1,103.12424
119,-1,96.87576
120,1,103.12424
121,-1,96.87576
122,1,103.12424
123,-1,96.87576
124,1,103.12424
125,-1,96.87576
126,1,103.12424
127,-1,96.87576
128,1,103.12424
129,-1,96.87576
130,1,103.12424
131,-1,96.87576
132,1,103.12424
133,-1,96.87576
134,1,103.12424
135,-1,96.87576
136,1,103.12424
137,-1,96.87576
138,1,103.12424
139,-1,96.87576
140,1,103.12424
141,-1,96.87576
142,1,103.12424
143,-1,96.87576
144,1,103.12424
145,-1,96.87576
146,1,103.12424
147,-1,96.87576
148,1,103.12424
149,-1,96.87576
150,1,103.12424
151,-1,96.87576
152,1,103.12424
153,-1,96.87576
154,1,103.12424
155,-1,96.87576
156,1,103.12424
157,-1,96.87576
158,1,103.12424
159,-1,96.87576
160,1,103.12424
161,-1,96.87576
162,1,103.12424
163,-1,96.87576
164,1,103.12424
165,-1,96.87576
166,1,103.12424
167,-1,96.87576
168,1,103.12424
169,-1,96.87576
170,1,103.12424
171,-1,96.87576
172,1,103.12424
173,-1,96.87576
174,1,103.12424
175,-1,96.87576
176,1,103.12424
177,-1,96.87576
178,1,103.12424
179,-1,96.87576
180,1,103.12424
181,-1,96.87576
182,1,103.12424
183,-1,96.87576
184,1,103.12424
185,-1,96.87576
186,1,103.12424
187,-1,96.87576
188,1,103.12424
189,-1,96.87576
190,1,103.12424
191,-1,96.87576
192,1,103.12424
193,-1,96.87576
194,1,103.12424
195,-1,96.87576
196,1,103.12424
197,-1,96.87576
198,1,103.12424
199,-1,96.87576
200,1,103.12424
201,-1,96.87576
202,1,103.12424
203,-1,96.87576
204,1,103.12424
205,-1,96.87576
206,1,103.12424
207,-1,96.87576
208,1,103.12424
209,-1,96.87576
210,1,103.12424
211,-1,96.87576
212,1,103.12424
213,-1,96.87576
214,1,103.12424
215,-1,96.87576
216,1,103.12424
217,-1,96.87576
218,1,103.12424
219,-1,96.87576
220,1,103.12424
221,-1,96.87576
222,1,103.12424
223,-1,96.87576
224,1,103.12424
225,-1,96.87576
226,1,103.12424
227,-1,96.87576
228,1,103.12424
229,-1,96.87576
230,1,103.12424
231,-1,96.87576
232,1,103.12424
233,-1,96.87576
234,1,103.12424
235,-1,96.87576
236,1,103.12424
237,-1,96.87576
238,1,103.12424
239,-1,96.87576
240,1,103.12424
241,-1,96.87576
242,1,103.12424
243,-1,96.87576
244,1,103.12424
245,-1,96.87576
246,1,103.12424
247,-1,96.87576
248,1,103.12424
249,-1,96.87576
250,1,103.12424
251,-1,96.87576
252,1,103.12424
253,-1,96.87576
254,1,103.12424
255,-1,96.87576
