Tempo_Y,Sensor_Esquerdo,Sensor_Direito
0.20,0.0075,0.0075
0.40,0.0150,0.0150
0.60,0.0225,0.0225
0.80,0.0300,0.0300
1.00,0.0375,0.0375
1.20,0.0449,0.0449
1.40,0.0524,0.0524
1.60,0.0599,0.0599
1.80,0.0673,0.0673
2.00,0.0747,0.0747
2.20,0.0821,0.0821
2.40,0.0895,0.0895
2.60,0.0969,0.0969
2.80,0.1042,0.1042
3.00,0.1116,0.1116
3.20,0.1189,0.1189
3.40,0.1261,0.1261
3.60,0.1334,0.1334
3.80,0.1406,0.1406
4.00,0.1478,0.1478
4.20,0.1549,0.1549
4.40,0.1620,0.1620
4.60,0.1691,0.1691
4.80,0.1761,0.1761
5.00,0.1831,0.1831
5.20,0.1901,0.1901
5.40,0.1970,0.1970
5.60,0.2039,0.2039
5.80,0.2107,0.2107
6.00,0.2175,0.2175
6.20,0.2242,0.2242
6.40,0.2309,0.2309
6.60,0.2375,0.2375
6.80,0.2441,0.2441
7.00,0.2506,0.2506
7.20,0.2571,0.2571
7.40,0.2635,0.2635
7.60,0.2698,0.2698
7.80,0.2761,0.2761
8.00,0.2823,0.2823
8.20,0.2885,0.2885
8.40,0.2946,0.2946
8.60,0.3006,0.3006
8.80,0.3066,0.3066
9.00,0.3124,0.3124
9.20,0.3183,0.3183
9.40,0.3240,0.3240
9.60,0.3297,0.3297
9.80,0.3353,0.3353
10.00,0.3408,0.3408
10.20,0.3463,0.3463
10.40,0.3516,0.3516
10.60,0.3569,0.3569
10.80,0.3621,0.3621
11.00,0.3673,0.3673
11.20,0.3723,0.3723
11.40,0.3773,0.3773
11.60,0.3822,0.3822
11.80,0.3870,0.3870
12.00,0.3917,0.3917
12.20,0.3963,0.3963
12.40,0.4008,0.4008
12.60,0.4052,0.4052
12.80,0.4096,0.4096
13.00,0.4139,0.4139
13.20,0.4180,0.4180
13.40,0.4221,0.4221
13.60,0.4261,0.4261
13.80,0.4299,0.4299
14.00,0.4337,0.4337
14.20,0.4374,0.4374
14.40,0.4410,0.4410
14.60,0.4445,0.4445
14.80,0.4478,0.4478
15.00,0.4511,0.4511
15.20,0.4543,0.4543
15.40,0.4574,0.4574
15.60,0.4604,0.4604
15.80,0.4632,0.4632
16.00,0.4660,0.4660
16.20,0.4687,0.4687
16.40,0.4712,0.4712
16.60,0.4737,0.4737
16.80,0.4760,0.4760
17.00,0.4783,0.4783
17.20,0.4804,0.4804
17.40,0.4824,0.4824
17.60,0.4844,0.4844
17.80,0.4862,0.4862
18.00,0.4879,0.4879
18.20,0.4894,0.4894
18.40,0.4909,0.4909
18.60,0.4923,0.4923
18.80,0.4935,0.4935
19.00,0.4947,0.4947
19.20,0.4957,0.4957
19.40,0.4967,0.4967
19.60,0.4975,0.4975
19.80,0.4982,0.4982
20.00,0.4987,0.4987
20.20,0.4992,0.4992
20.40,0.4996,0.4996
20.60,0.4998,0.4998
20.80,0.5000,0.5000
21.00,0.5000,0.5000
21.20,0.4999,0.4999
21.40,0.4997,0.4997
21.60,0.4994,0.4994
21.80,0.4990,0.4990
22.00,0.4984,0.4984
22.20,0.4978,0.4978
22.40,0.4970,0.4970
22.60,0.4961,0.4961
22.80,0.4952,0.4952
23.00,0.4941,0.4941
23.20,0.4929,0.4929
23.40,0.4915,0.4915
23.60,0.4901,0.4901
23.80,0.4886,0.4886
24.00,0.4869,0.4869
24.20,0.4852,0.4852
24.40,0.4833,0.4833
24.60,0.4813,0.4813
24.80,0.4792,0.4792
25.00,0.4770,0.4770
25.20,0.4747,0.4747
25.40,0.4723,0.4723
25.60,0.4698,0.4698
25.80,0.4672,0.4672
26.00,0.4645,0.4645
26.20,0.4617,0.4617
26.40,0.4587,0.4587
26.60,0.4557,0.4557
26.80,0.4525,0.4525
27.00,0.4493,0.4493
27.20,0.4460,0.4460
27.40,0.4425,0.4425
27.60,0.4390,0.4390
27.80,0.4353,0.4353
28.00,0.4316,0.4316
28.20,0.4278,0.4278
28.40,0.4238,0.4238
28.60,0.4198,0.4198
28.80,0.4157,0.4157
29.00,0.4115,0.4115
