X,UV,Green,Red
0,35,73,31
1,27,194,96
2,7,68,105
3,32,105,70
4,22,62,84
5,31,145,64
6,27,71,98
7,7,80,81
8,20,131,90
9,34,69,66
10,24,73,90
11,13,78,91
12,33,123,44
13,17,150,76
14,34,100,149
15,13,157,71
16,21,134,37
17,24,115,69
18,10,256,127
19,28,434,63
20,14,211,43
21,27,250,105
22,28,131,85
23,14,167,60
24,50,148,79
25,19,67,66
26,22,72,78
27,19,116,122
28,44,63,39
29,11,53,102
30,17,132,79
31,32,69,62
32,36,124,105
33,24,71,74
34,17,57,79
35,39,118,106
36,22,162,52
37,27,157,113
38,54,60,97
39,21,81,33
40,25,153,87
41,11,66,102
42,41,214,101
43,12,114,35
44,25,85,115
45,20,127,83
46,45,73,76
47,22,230,105
48,43,99,60
49,36,128,106
50,13,114,57
51,34,149,95
52,27,190,60
53,18,64,155
54,21,137,47
55,29,105,65
56,25,208,119
57,14,97,67
58,33,124,89
59,45,112,59
60,14,219,134
61,20,106,70
62,26,121,93
63,23,111,117
64,12,199,113
65,14,112,41
66,35,127,105
67,28,94,81
68,14,189,109
69,33,83,50
70,28,146,103
71,36,107,179
72,11,217,56
73,30,102,126
74,28,124,85
75,16,175,93
76,27,166,39
77,18,123,92
78,47,62,107
79,22,146,83
80,24,153,96
81,11,131,63
82,35,133,112
83,14,158,35
84,10,170,110
85,35,68,153
86,24,145,49
87,29,206,104
88,15,96,82
89,6,128,109
90,44,101,94
91,25,206,66
92,37,161,145
93,14,67,78
94,25,197,79
95,27,252,153
96,35,76,92
97,4,199,53
98,9,207,141
99,30,103,89
100,40,115,44
101,11,187,108
102,12,124,145
103,25,202,44
104,41,139,72
105,21,248,140
106,7,124,63
107,9,149,98
108,22,165,116
109,22,137,168
110,23,173,58
111,15,143,99
112,13,166,119
113,21,166,67
114,15,130,89
115,15,154,132
116,14,202,96
117,18,114,40
118,19,132,120
119,22,162,156
120,22,245,79
121,22,160,105
122,27,97,91
123,10,211,109
124,16,148,70
125,25,147,143
126,14,153,92
127,11,174,38
128,30,132,101
129,16,164,156
130,20,210,77
131,28,204,86
132,28,148,130
133,14,174,125
134,30,192,40
135,32,137,159
136,12,187,118
137,31,241,92
138,52,111,92
139,31,165,134
140,71,204,85
141,56,150,110
142,109,76,142
143,179,225,64
144,97,182,92
145,81,129,168
146,57,185,97
147,42,216,101
148,43,131,110
149,11,175,170
150,35,188,82
151,19,140,128
152,24,136,133
153,43,243,94
154,10,163,106
155,29,139,131
156,24,146,102
157,19,214,89
158,17,125,145
159,11,161,117
160,2,239,101
161,30,145,109
162,0,173,150
163,21,183,82
164,25,173,87
165,9,130,141
166,4,249,111
167,10,234,87
168,19,143,191
169,0,218,101
170,18,161,96
171,16,148,155
172,0,221,125
173,3,160,97
174,10,137,120
175,9,160,156
176,0,294,97
177,51,162,141
178,43,167,143
179,47,200,107
180,71,129,95
181,94,178,139
182,74,300,114
183,25,136,132
184,16,181,151
185,38,229,120
186,11,211,115
187,68,177,153
188,45,245,145
189,61,139,93
190,152,232,118
191,94,250,191
192,115,136,98
193,504,172,100
194,7,307,131
195,0,127,152
196,8,161,110
197,9,296,136
198,2,162,156
199,0,192,82
200,24,265,137
201,2,124,135
202,9,189,85
203,9,304,160
204,38,141,164
205,43,155,66
206,40,284,112
207,15,121,205
208,15,298,90
209,31,176,151
210,11,126,168
211,25,298,137
212,29,140,94
213,33,205,131
214,51,228,134
215,69,233,95
216,26,184,212
217,44,263,94
218,38,161,141
219,26,252,122
220,34,244,157
221,48,210,108
222,21,154,179
223,40,278,142
224,34,113,114
225,37,285,171
226,56,160,102
227,30,199,140
228,37,277,156
229,21,164,128
230,41,253,168
231,29,244,148
232,43,201,134
233,28,230,146
234,52,207,119
235,49,207,149
236,28,304,147
237,29,174,146
238,36,233,172
239,33,295,151
240,60,133,172
241,27,226,108
242,38,350,154
243,27,220,217
244,30,236,131
245,32,221,153
246,53,225,149
247,49,290,127
248,18,179,142
249,35,178,219
250,56,331,112
251,39,184,203
252,44,293,130
253,40,247,124
254,41,229,202
255,48,245,128
256,41,173,137
257,37,285,197
258,29,232,159
259,60,246,172
260,39,305,190
261,51,193,139
262,153,291,147
263,59,244,198
264,31,223,136
265,55,327,187
266,45,203,162
267,48,333,159
268,43,244,188
269,45,226,137
270,47,289,157
271,36,202,188
272,46,279,121
273,33,267,189
274,44,308,181
275,36,326,113
276,62,209,187
277,21,292,210
278,34,241,160
279,43,223,165
280,38,367,120
281,37,218,226
282,66,300,145
283,39,227,149
284,32,251,243
285,45,394,152
286,56,233,198
287,31,315,195
288,45,305,169
289,29,246,211
290,81,296,205
291,50,284,166
292,69,278,246
293,51,238,136
294,48,288,258
295,68,257,189
296,41,292,154
