X,UV,Green,Red
0,38,120,76
1,27,106,64
2,29,111,71
3,27,109,82
4,31,88,81
5,49,71,106
6,46,62,86
7,57,62,71
8,48,82,68
9,46,61,86
10,34,85,89
11,27,115,83
12,36,122,79
13,35,124,76
14,40,126,93
15,47,192,78
16,56,327,88
17,55,517,89
18,34,636,101
19,32,803,97
20,41,711,94
21,31,431,106
22,25,259,97
23,30,180,100
24,39,168,83
25,60,140,85
26,59,119,84
27,53,105,94
28,39,92,101
29,47,78,105
30,33,86,92
31,30,75,94
32,37,74,114
33,34,81,106
34,58,121,99
35,52,132,107
36,62,115,119
37,47,133,113
38,34,103,101
39,46,96,101
40,36,87,120
41,32,69,100
42,24,74,100
43,43,70,96
44,48,89,90
45,50,91,113
46,35,117,86
47,41,127,93
48,34,151,88
49,35,126,118
50,42,136,102
51,35,99,93
52,39,100,103
53,44,75,105
54,49,88,91
55,46,90,106
56,46,85,99
57,31,117,92
58,36,129,98
59,40,124,97
60,22,134,93
61,34,135,108
62,22,110,99
63,31,89,106
64,45,94,104
65,45,75,86
66,33,76,103
67,34,76,85
68,28,78,79
69,39,105,104
70,26,123,85
71,32,115,86
72,35,132,78
73,27,159,86
74,35,128,66
75,34,102,81
76,31,103,79
77,36,68,68
78,22,81,86
79,30,91,88
80,40,88,92
81,44,121,86
82,37,103,80
83,30,112,77
84,44,130,70
85,32,120,69
86,17,132,68
87,40,115,78
88,30,88,71
89,31,94,76
90,38,82,78
91,29,77,73
92,35,93,95
93,25,119,70
94,33,116,78
95,17,137,83
96,32,156,81
97,31,152,61
98,28,133,76
99,35,108,74
100,29,106,75
101,31,89,64
102,21,92,71
103,33,82,87
104,18,99,82
105,26,135,76
106,29,145,79
107,23,135,74
108,22,140,96
109,43,156,58
110,27,142,61
111,35,115,79
112,21,98,67
113,26,103,63
114,27,88,68
115,32,98,83
116,39,109,48
117,31,125,65
118,33,135,61
119,40,154,64
120,32,152,73
121,30,132,73
122,38,130,61
123,24,133,62
124,40,96,83
125,34,100,81
126,48,111,72
127,41,89,72
128,35,95,49
129,30,125,76
130,26,132,70
131,32,154,57
132,41,149,59
133,36,164,77
