Time,Gauss_Center,Gauss_Spread,Airy_Center,Airy_Spread
0, -0.4614, 5.0000, 0.0000, 5.1445
1, -0.2540, 5.0062, 0.0250, 4.8253
2, 0.0601, 5.0249, 0.1000, 5.0245
3, -0.0924, 5.0559, 0.2250, 4.9819
4, 0.3799, 5.0990, 0.4000, 4.8828
5, 0.4530, 5.1539, 0.6250, 4.9634
6, -0.0198, 5.2202, 0.9000, 5.1378
7, -0.1505, 5.2974, 1.2250, 5.0565
8, 0.1274, 5.3852, 1.6000, 5.0042
9, -0.4031, 5.4829, 2.0250, 4.8580
10, -0.0947, 5.5902, 2.5000, 5.1589
11, -0.4181, 5.7064, 3.0250, 5.1685
12, 0.1949, 5.8310, 3.6000, 4.8980
13, 0.3163, 5.9634, 4.2250, 4.9733
14, -0.1277, 6.1033, 4.9000, 4.8588
15, 0.1142, 6.2500, 5.6250, 5.1063
16, 0.2636, 6.4031, 6.4000, 4.8099
17, -0.0210, 6.5622, 7.2250, 5.1717
18, -0.1393, 6.7268, 8.1000, 5.1758
19, -0.4866, 6.8966, 9.0250, 4.9026
20, 0.1406, 7.0711, 10.0000, 4.9233
21, 0.2838, 7.2500, 11.0250, 5.1184
22, 0.0851, 7.4330, 12.1000, 5.0235
23, -0.3207, 7.6199, 13.2250, 5.0141
24, -0.2738, 7.8102, 14.4000, 4.9621
25, -0.4524, 8.0039, 15.6250, 5.0823
26, 0.3603, 8.2006, 16.9000, 4.9277
27, -0.2342, 8.4001, 18.2250, 4.8373
28, -0.0831, 8.6023, 19.6000, 4.9996
29, 0.4674, 8.8070, 21.0250, 5.1518
30, 0.3933, 9.0139, 22.5000, 5.0557
31, -0.2418, 9.2229, 24.0250, 4.9464
32, -0.2868, 9.4340, 25.6000, 4.9209
33, 0.0010, 9.6469, 27.2250, 5.0838
34, -0.1549, 9.8615, 28.9000, 4.8548
35, 0.2378, 10.0778, 30.6250, 4.8152
36, 0.4919, 10.2956, 32.4000, 5.0665
37, -0.4428, 10.5149, 34.2250, 4.9985
38, -0.4368, 10.7355, 36.1000, 4.8301
39, -0.3116, 10.9573, 38.0250, 4.9697
40, -0.0904, 11.1803, 40.0000, 4.8276
41, 0.3446, 11.4045, 42.0250, 4.8337
42, -0.0845, 11.6297, 44.1000, 5.0533
43, -0.1226, 11.8559, 46.2250, 4.9923
44, 0.2185, 12.0830, 48.4000, 5.1568
45, -0.0594, 12.3111, 50.6250, 4.8715
46, -0.1492, 12.5399, 52.9000, 5.0872
47, -0.0236, 12.7696, 55.2250, 5.1932
48, -0.4068, 13.0000, 57.6000, 5.1020
49, -0.2690, 13.2311, 60.0250, 4.8342
50, 0.2926, 13.4629, 62.5000, 5.0861
51, 0.0238, 13.6953, 65.0250, 4.9826
52, 0.0830, 13.9284, 67.6000, 5.1225
53, 0.0109, 14.1620, 70.2250, 5.0893
54, 0.1547, 14.3962, 72.9000, 4.9228
55, 0.1892, 14.6309, 75.6250, 4.8439
56, 0.0736, 14.8661, 78.4000, 5.0535
57, -0.4630, 15.1017, 81.2250, 5.1191
58, 0.2326, 15.3379, 84.1000, 5.0019
59, 0.1853, 15.5744, 87.0250, 5.0155
60, 0.3552, 15.8114, 90.0000, 4.8177
61, -0.2792, 16.0488, 93.0250, 5.0980
62, -0.0042, 16.2865, 96.1000, 4.8075
63, -0.4784, 16.5246, 99.2250, 5.0500
64, 0.2021, 16.7631, 102.4000, 5.0373
65, 0.3125, 17.0018, 105.6250, 4.9622
66, 0.1303, 17.2409, 108.9000, 4.9722
67, 0.2487, 17.4803, 112.2250, 5.0496
68, 0.4807, 17.7200, 115.6000, 4.8390
69, -0.2025, 17.9600, 119.0250, 4.9809
70, -0.2658, 18.2003, 122.5000, 4.8420
71, 0.0209, 18.4408, 126.0250, 5.0160
72, -0.2233, 18.6815, 129.6000, 5.0522
73, 0.3085, 18.9225, 133.2250, 4.9600
74, -0.2728, 19.1638, 136.9000, 4.8482
75, 0.3934, 19.4052, 140.6250, 5.0257
76, 0.2663, 19.6469, 144.4000, 4.9533
77, -0.3337, 19.8888, 148.2250, 4.9418
78, 0.2901, 20.1308, 152.1000, 5.0851
79, 0.2031, 20.3731, 156.0250, 5.0235
80, 0.2275, 20.6155, 160.0000, 5.0319
81, -0.2794, 20.8582, 164.0250, 5.0188
82, -0.3564, 21.1009, 168.1000, 4.8760
83, 0.1306, 21.3439, 172.2250, 4.8987
84, 0.4577, 21.5870, 176.4000, 5.1470
85, -0.4822, 21.8303, 180.6250, 4.8619
86, 0.3162, 22.0737, 184.9000, 4.8221
87, -0.1273, 22.3173, 189.2250, 5.1633
88, 0.4217, 22.5610, 193.6000, 5.0604
89, 0.2474, 22.8049, 198.0250, 4.9017
90, -0.1469, 23.0489, 202.5000, 5.0837
91, -0.2153, 23.2930, 207.0250, 5.0026
92, -0.4571, 23.5372, 211.6000, 5.0156
93, -0.4783, 23.7816, 216.2250, 5.0241
94, 0.0838, 24.0260, 220.9000, 4.8554
95, 0.4402, 24.2706, 225.6250, 5.1117
96, 0.4940, 24.5153, 230.4000, 5.1409
97, 0.2296, 24.7601, 235.2250, 4.9421
98, -0.2969, 25.0050, 240.1000, 5.1688
99, 0.0198, 25.2500, 245.0250, 4.9054
100, -0.3984, 25.4951, 250.0000, 5.0688
